,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t4,호잉,2018,19,6,0,2,0,5,3,1,7,0,50,3,204,20,15,0.603448275862069,0.78
t5,호잉,2018,13,4,0,4,0,2,0,0,9,0,56,1,217,18,15,0.39655172413793105,0.6607142857142857
t6,호잉,2018,23,8,0,2,0,4,0,1,16,0,62,4,272,16,15,0.5606060606060606,0.7580645161290323
t7,호잉,2018,17,4,1,3,1,3,2,0,8,0,56,1,240,18,15,0.5,0.7142857142857143
t8,호잉,2018,15,7,0,3,1,8,1,1,8,0,53,2,243,19,15,0.5555555555555556,0.7735849056603774
t9,호잉,2018,20,3,0,6,0,6,0,0,10,0,57,1,247,17,15,0.5555555555555556,0.8771929824561403
t2,김성현,2018,10,1,0,1,1,1,0,0,8,2,46,2,183,18,15,0.28,0.34782608695652173
t3,김성현,2018,12,3,0,0,1,3,0,2,4,1,41,0,163,35,15,0.41304347826086957,0.43902439024390244
t4,김성현,2018,13,2,0,2,0,4,0,2,6,1,51,1,184,17,15,0.375,0.49019607843137253
t5,김성현,2018,10,0,1,0,2,7,0,3,5,0,47,1,221,21,15,0.35714285714285715,0.2765957446808511
t6,김성현,2018,11,2,0,0,1,5,0,1,3,1,50,0,215,18,15,0.3333333333333333,0.3
t7,김성현,2018,14,2,0,0,2,3,0,5,7,1,49,0,175,17,15,0.38181818181818183,0.3673469387755102
t8,김성현,2018,18,4,0,0,0,1,0,0,4,0,55,0,194,20,15,0.4107142857142857,0.4727272727272727
t9,김성현,2018,16,4,0,0,1,3,0,2,3,0,39,1,149,18,15,0.5581395348837209,0.6153846153846154
t2,하주석,2018,14,3,0,1,0,5,0,1,14,0,51,1,194,17,15,0.4107142857142857,0.47058823529411764
t3,하주석,2018,21,6,1,1,0,3,0,1,10,0,54,1,207,36,15,0.5614035087719298,0.7407407407407407
t4,하주석,2018,11,1,1,0,1,4,0,1,14,0,53,2,214,20,15,0.3103448275862069,0.3018867924528302
t5,하주석,2018,9,3,0,0,0,1,0,1,12,0,46,1,183,18,15,0.2765957446808511,0.32608695652173914
t6,하주석,2018,9,1,0,1,0,4,0,0,9,0,36,2,135,17,15,0.375,0.4166666666666667
t7,하주석,2018,10,1,0,1,1,2,0,2,13,0,50,2,196,16,15,0.2830188679245283,0.32
t8,하주석,2018,14,2,0,1,0,5,0,0,15,1,52,1,207,19,15,0.3793103448275862,0.4230769230769231
t9,하주석,2018,13,2,0,2,1,0,0,1,23,0,61,1,253,20,15,0.2903225806451613,0.4098360655737705
t2,최형우,2018,21,2,0,3,0,12,0,1,7,0,59,0,307,18,15,0.5352112676056338,0.6271186440677966
t3,최형우,2018,22,8,0,3,2,8,2,4,7,0,53,1,249,35,15,0.6923076923076923,0.9433962264150944
t4,최형우,2018,12,0,0,4,1,6,0,0,13,0,61,0,286,16,15,0.3382352941176471,0.45901639344262296
t5,최형우,2018,20,4,0,4,1,6,1,2,12,0,57,1,287,20,15,0.5538461538461539,0.7719298245614035
t6,최형우,2018,19,7,0,1,1,7,2,2,5,0,53,0,243,19,15,0.5873015873015873,0.6981132075471698
t7,최형우,2018,16,5,0,2,1,6,0,0,11,0,50,0,243,16,15,0.5263157894736842,0.68
t8,최형우,2018,21,4,0,2,0,2,0,4,6,0,60,0,216,19,15,0.46774193548387094,0.6166666666666667
t9,최형우,2018,21,3,1,2,0,9,1,2,11,0,54,1,272,21,15,0.578125,0.7037037037037037
t2,나성범,2018,18,7,1,2,0,5,0,4,6,0,61,2,262,35,15,0.5,0.7049180327868853
t3,나성범,2018,15,2,1,4,2,12,1,0,17,0,56,5,266,18,15,0.5211267605633803,0.6785714285714286
t4,나성범,2018,20,6,0,1,2,7,2,1,10,0,53,3,236,20,15,0.59375,0.6792452830188679
t5,나성범,2018,14,4,0,0,0,4,0,1,16,0,58,0,251,19,15,0.3548387096774194,0.3793103448275862
t6,나성범,2018,23,3,0,5,3,2,0,0,12,0,59,4,242,16,15,0.5625,0.8305084745762712
t7,나성범,2018,11,1,1,0,1,4,0,0,22,0,57,0,238,19,15,0.2903225806451613,0.2807017543859649
t8,나성범,2018,26,4,0,5,0,3,0,1,14,0,60,0,248,17,15,0.6031746031746031,0.9
t9,나성범,2018,23,5,0,3,2,1,0,1,13,0,59,0,198,17,15,0.5483870967741935,0.7627118644067796
t2,전준우,2018,24,5,0,4,0,8,0,1,11,0,65,1,279,19,15,0.5616438356164384,0.7692307692307693
t3,전준우,2018,23,7,1,5,0,5,0,1,9,0,67,0,279,37,15,0.5694444444444444,0.8955223880597015
t4,전준우,2018,21,4,0,4,1,10,1,0,9,1,55,0,258,20,15,0.6029411764705882,0.8181818181818182
t5,전준우,2018,16,2,0,4,3,2,0,1,6,0,57,2,230,19,15,0.43548387096774194,0.631578947368421
t6,전준우,2018,26,5,0,7,0,5,0,0,7,0,68,0,290,18,15,0.589041095890411,0.9411764705882353
t7,전준우,2018,22,4,0,2,1,4,0,2,12,0,61,1,247,17,15,0.5,0.6229508196721312
t8,전준우,2018,24,3,0,1,1,1,0,1,8,0,55,1,196,18,15,0.5263157894736842,0.6181818181818182
t9,전준우,2018,12,3,0,0,0,5,0,1,6,0,38,1,164,20,15,0.46511627906976744,0.47368421052631576
t2,최주환,2018,22,8,0,3,2,4,0,0,11,0,56,0,263,18,15,0.6290322580645161,0.8928571428571429
t3,최주환,2018,20,6,0,4,1,8,0,1,8,0,53,0,255,35,15,0.6290322580645161,0.9056603773584906
t4,최주환,2018,14,1,0,3,1,7,0,0,8,0,54,0,296,16,15,0.41935483870967744,0.5185185185185185
t5,최주환,2018,17,1,0,3,0,7,0,0,8,0,53,0,267,19,15,0.4666666666666667,0.5849056603773585
t6,최주환,2018,20,4,0,3,0,8,0,1,12,0,58,0,282,16,15,0.5303030303030303,0.6896551724137931
t7,최주환,2018,21,4,2,3,0,3,0,0,13,0,61,0,237,21,15,0.515625,0.7704918032786885
t8,최주환,2018,18,6,0,3,2,3,0,0,7,0,55,1,267,18,15,0.5333333333333333,0.7636363636363637
t9,최주환,2018,18,7,2,2,2,5,0,0,10,0,55,0,287,17,15,0.5806451612903226,0.8363636363636363
t2,박해민,2018,21,6,1,2,1,4,0,1,14,0,61,3,270,34,15,0.5303030303030303,0.7213114754098361
t3,박해민,2018,13,2,1,0,0,9,0,1,10,2,60,3,295,18,15,0.352112676056338,0.3333333333333333
t4,박해민,2018,14,2,0,0,0,8,0,0,10,1,59,4,312,20,15,0.35294117647058826,0.3050847457627119
t5,박해민,2018,17,3,1,0,0,4,0,0,12,0,61,4,283,19,15,0.38461538461538464,0.4262295081967213
t6,박해민,2018,20,6,2,1,0,7,0,1,9,1,60,4,291,16,15,0.5294117647058824,0.7
t7,박해민,2018,20,1,0,1,1,4,0,1,5,1,62,1,259,18,15,0.39705882352941174,0.41935483870967744
t8,박해민,2018,21,4,1,1,0,6,0,1,7,0,64,6,295,18,15,0.4714285714285714,0.5625
t9,박해민,2018,13,1,1,1,0,4,0,2,7,2,47,2,179,17,15,0.37735849056603776,0.46808510638297873
t2,로하스,2018,18,0,0,6,0,9,0,0,14,0,56,0,286,17,15,0.5076923076923077,0.75
t3,로하스,2018,16,3,0,6,1,12,1,1,14,0,52,3,276,35,15,0.5909090909090909,0.8846153846153846
t4,로하스,2018,26,2,0,6,1,9,0,0,8,0,55,5,242,19,15,0.676923076923077,0.9818181818181818
t5,로하스,2018,20,6,0,4,1,5,1,2,15,0,64,1,278,21,15,0.5211267605633803,0.75
t6,로하스,2018,10,1,0,2,0,8,0,1,17,1,51,3,277,16,15,0.35,0.39215686274509803
t7,로하스,2018,26,5,1,5,1,2,0,2,15,0,68,1,244,17,15,0.5633802816901409,0.8676470588235294
t8,로하스,2018,16,6,0,4,2,6,0,1,17,0,58,0,278,19,15,0.5151515151515151,0.7586206896551724
t9,로하스,2018,13,4,0,2,0,8,0,2,16,0,60,2,288,17,15,0.39705882352941174,0.48333333333333334
t2,오지환,2018,18,4,0,2,1,4,1,0,13,1,56,2,240,34,15,0.47619047619047616,0.6071428571428571
t3,오지환,2018,16,6,0,2,0,8,0,2,17,0,56,0,276,18,15,0.5,0.6428571428571429
t4,오지환,2018,12,3,0,1,0,9,1,0,18,0,55,0,280,20,15,0.4,0.4
t5,오지환,2018,15,1,0,1,2,10,0,2,11,3,53,1,274,20,15,0.4264705882352941,0.39622641509433965
t6,오지환,2018,16,3,1,1,0,8,0,0,17,1,53,1,259,16,15,0.46774193548387094,0.5471698113207547
t7,오지환,2018,19,3,1,0,1,4,0,0,11,2,55,3,250,17,15,0.45161290322580644,0.509090909090909
t8,오지환,2018,19,2,0,0,0,2,0,1,13,0,67,2,254,17,15,0.3333333333333333,0.34328358208955223
t9,오지환,2018,15,2,0,3,1,3,0,1,20,2,54,1,240,17,15,0.4,0.5740740740740741
t2,임병욱,2018,12,5,1,0,0,2,0,0,15,0,46,2,170,17,15,0.4166666666666667,0.5434782608695652
t3,임병욱,2018,23,4,0,0,0,1,0,1,16,0,60,0,245,33,15,0.45901639344262296,0.5166666666666667
t4,임병욱,2018,12,2,0,4,0,3,0,0,14,0,47,0,175,29,15,0.42,0.6808510638297872
t5,임병욱,2018,10,2,0,2,0,3,0,1,11,0,33,3,129,20,15,0.4722222222222222,0.6666666666666666
t6,임병욱,2018,6,0,0,1,0,3,0,0,12,0,34,0,151,16,15,0.2702702702702703,0.29411764705882354
t7,임병욱,2018,18,6,0,1,0,2,1,3,16,0,66,4,243,18,15,0.4057971014492754,0.5151515151515151
t8,임병욱,2018,19,5,2,2,0,3,0,0,13,0,54,4,221,18,15,0.543859649122807,0.7962962962962963
t9,임병욱,2018,11,3,0,1,0,2,0,0,11,0,39,1,151,17,15,0.4146341463414634,0.5384615384615384
t2,이대호,2018,22,4,0,6,1,3,0,2,8,0,62,0,222,19,15,0.5454545454545454,0.8709677419354839
t3,이대호,2018,20,4,0,4,1,5,2,3,7,0,57,0,228,37,15,0.5538461538461539,0.7719298245614035
t4,이대호,2018,17,5,0,2,1,1,0,0,11,0,57,0,209,20,15,0.4406779661016949,0.6140350877192983
t5,이대호,2018,15,0,0,2,1,6,1,4,8,0,53,0,226,19,15,0.4098360655737705,0.4339622641509434
t6,이대호,2018,19,1,0,7,3,7,1,1,3,0,61,0,259,18,15,0.5277777777777778,0.8032786885245902
t7,이대호,2018,21,9,0,2,1,6,1,1,7,0,53,0,215,17,15,0.6557377049180327,0.8867924528301887
t8,이대호,2018,14,3,0,2,2,5,1,2,11,0,49,0,210,18,15,0.47368421052631576,0.5714285714285714
t9,이대호,2018,28,3,0,7,3,5,0,1,5,0,56,0,273,20,15,0.71875,1.1071428571428572
t2,김혜성,2018,6,1,0,0,0,4,1,0,15,0,36,3,152,17,15,0.2926829268292683,0.2222222222222222
t3,김혜성,2018,23,2,1,2,1,3,0,1,16,0,71,7,263,35,15,0.4266666666666667,0.5352112676056338
t4,김혜성,2018,16,1,0,1,2,5,0,1,17,0,52,5,257,19,15,0.423728813559322,0.4230769230769231
t5,김혜성,2018,14,3,1,1,0,7,0,0,15,1,55,3,243,17,15,0.4126984126984127,0.4909090909090909
t6,김혜성,2018,12,2,0,0,0,2,0,2,14,0,50,3,199,17,15,0.3076923076923077,0.32
t7,김혜성,2018,21,1,4,0,0,1,0,1,7,0,54,3,194,16,15,0.4909090909090909,0.6481481481481481
t8,김혜성,2018,11,4,0,1,2,4,0,1,15,0,47,4,214,19,15,0.41509433962264153,0.48936170212765956
t9,김혜성,2018,8,1,0,0,0,5,0,0,12,2,40,1,184,19,15,0.2978723404255319,0.25
t2,황재균,2018,20,4,0,4,0,5,0,0,10,0,60,2,268,17,15,0.5076923076923077,0.7333333333333333
t3,황재균,2018,15,2,0,5,1,6,0,0,15,1,51,0,244,35,15,0.4915254237288136,0.7647058823529411
t4,황재균,2018,12,1,0,5,1,6,0,1,10,0,48,2,242,19,15,0.45454545454545453,0.7083333333333334
t5,황재균,2018,15,4,0,2,0,3,0,0,17,0,57,2,232,22,15,0.4,0.543859649122807
t6,황재균,2018,11,6,0,1,1,2,1,1,12,0,52,1,235,17,15,0.39285714285714285,0.5192307692307693
t7,황재균,2018,18,5,0,3,1,5,0,0,10,0,59,0,247,17,15,0.49230769230769234,0.6779661016949152
t8,황재균,2018,23,7,1,1,0,6,0,0,13,0,59,2,250,19,15,0.5846153846153846,0.7457627118644068
t9,황재균,2018,16,4,2,0,0,8,0,1,11,0,56,3,241,18,15,0.46875,0.5357142857142857
t2,스크럭스,2018,14,3,0,2,1,4,0,3,12,0,53,0,193,35,15,0.41379310344827586,0.5283018867924528
t3,스크럭스,2018,19,6,0,4,1,7,1,1,13,0,58,0,234,18,15,0.5671641791044776,0.8103448275862069
t4,스크럭스,2018,10,5,0,2,3,5,1,2,16,0,57,0,259,21,15,0.3939393939393939,0.49122807017543857
t5,스크럭스,2018,18,5,0,2,2,3,0,1,14,0,55,2,226,19,15,0.5,0.6545454545454545
t6,스크럭스,2018,10,3,0,4,0,7,0,1,18,0,51,0,223,16,15,0.41379310344827586,0.6274509803921569
t7,스크럭스,2018,15,3,0,1,2,4,0,1,20,0,50,0,241,18,15,0.44642857142857145,0.5
t8,스크럭스,2018,16,5,0,5,2,3,0,1,13,0,53,1,230,18,15,0.5344827586206896,0.8679245283018868
t9,스크럭스,2018,8,2,0,1,0,8,0,1,18,0,49,0,239,18,15,0.3333333333333333,0.32653061224489793
t2,손아섭,2018,11,1,0,2,0,10,0,1,13,0,49,3,281,22,15,0.4067796610169492,0.42857142857142855
t3,손아섭,2018,18,7,0,4,0,6,1,1,14,0,54,3,254,38,15,0.5901639344262295,0.8888888888888888
t4,손아섭,2018,21,5,1,2,0,5,0,0,12,0,67,2,283,20,15,0.4722222222222222,0.6268656716417911
t5,손아섭,2018,20,2,2,1,0,6,0,4,12,0,54,3,233,19,15,0.5166666666666667,0.6296296296296297
t6,손아섭,2018,24,4,1,4,1,9,0,1,8,0,63,3,300,17,15,0.589041095890411,0.8095238095238095
t7,손아섭,2018,18,1,0,6,0,7,0,1,8,0,55,1,255,19,15,0.5161290322580645,0.8
t8,손아섭,2018,22,5,0,2,0,3,0,1,9,0,65,2,255,18,15,0.47058823529411764,0.6153846153846154
t9,손아섭,2018,23,2,0,1,1,8,0,2,9,1,63,0,261,20,15,0.4794520547945205,0.49206349206349204
t2,김재환,2018,21,3,0,9,2,6,3,1,17,0,60,0,245,16,15,0.6197183098591549,1.05
t3,김재환,2018,17,5,0,2,1,5,0,0,18,0,58,1,246,19,15,0.46875,0.603448275862069
t4,김재환,2018,23,4,0,4,1,9,0,0,11,0,55,0,238,20,15,0.6307692307692307,0.8545454545454545
t5,김재환,2018,27,4,0,4,1,6,0,1,16,0,62,0,273,19,15,0.6086956521739131,0.8225806451612904
t6,김재환,2018,25,4,0,11,0,4,1,0,8,0,62,0,225,16,15,0.6716417910447762,1.2419354838709677
t7,김재환,2018,18,9,0,2,1,4,0,1,17,0,61,0,252,20,15,0.5151515151515151,0.7213114754098361
t8,김재환,2018,13,1,1,4,0,4,0,0,14,0,57,0,277,18,15,0.3770491803278688,0.5964912280701754
t9,김재환,2018,19,5,0,5,0,15,0,2,14,0,52,1,285,20,15,0.6567164179104478,0.9423076923076923
t2,이재원,2018,19,5,0,0,3,3,0,3,8,0,52,0,208,19,15,0.5172413793103449,0.5576923076923077
t3,이재원,2018,14,3,0,2,0,6,0,0,5,0,44,0,183,36,15,0.5,0.6363636363636364
t4,이재원,2018,18,3,0,2,3,4,0,3,5,0,54,0,225,18,15,0.4918032786885246,0.5925925925925926
t5,이재원,2018,14,2,0,4,1,4,0,1,6,1,49,0,213,22,15,0.45454545454545453,0.6938775510204082
t6,이재원,2018,15,2,0,1,1,4,0,0,12,0,50,0,218,16,15,0.41818181818181815,0.46
t7,이재원,2018,12,2,0,4,1,3,0,1,8,0,36,0,180,28,15,0.55,0.8888888888888888
t8,이재원,2018,16,4,0,2,0,9,0,1,8,1,45,0,259,19,15,0.5636363636363636,0.7111111111111111
t9,이재원,2018,19,3,0,0,2,7,0,4,6,2,46,0,243,19,15,0.543859649122807,0.5434782608695652
t2,김헌곤,2018,9,2,0,0,1,6,0,2,9,0,49,1,250,33,15,0.32142857142857145,0.2653061224489796
t3,김헌곤,2018,20,3,0,2,2,7,0,2,7,2,55,4,271,18,15,0.5151515151515151,0.6181818181818182
t4,김헌곤,2018,21,3,2,1,1,6,0,2,13,0,59,3,232,20,15,0.5151515151515151,0.6271186440677966
t5,김헌곤,2018,18,4,0,2,2,6,0,1,5,0,54,1,251,17,15,0.5161290322580645,0.6296296296296297
t6,김헌곤,2018,14,2,0,0,1,4,0,1,4,0,52,3,202,17,15,0.3684210526315789,0.34615384615384615
t7,김헌곤,2018,16,2,0,1,1,5,1,1,3,1,60,1,251,17,15,0.38235294117647056,0.4
t8,김헌곤,2018,17,2,0,3,0,5,0,2,5,0,59,0,243,18,15,0.421875,0.559322033898305
t9,김헌곤,2018,24,6,0,1,1,8,0,1,11,1,62,4,294,18,15,0.5555555555555556,0.6451612903225806
t2,양석환,2018,7,1,0,2,1,5,0,1,6,0,53,0,260,34,15,0.2711864406779661,0.32075471698113206
t3,양석환,2018,15,3,0,1,0,1,0,0,4,1,51,0,204,19,15,0.37735849056603776,0.49019607843137253
t4,양석환,2018,9,2,0,2,1,1,0,2,7,0,43,0,179,20,15,0.3333333333333333,0.4883720930232558
t5,양석환,2018,8,2,0,1,3,1,0,1,15,0,47,0,207,20,15,0.29411764705882354,0.3404255319148936
t6,양석환,2018,19,5,0,4,0,4,0,1,14,0,57,1,267,17,15,0.5245901639344263,0.7894736842105263
t7,양석환,2018,15,3,0,1,0,1,0,0,9,0,57,0,224,19,15,0.3448275862068966,0.43859649122807015
t8,양석환,2018,16,5,0,4,1,3,0,1,6,0,54,1,224,16,15,0.5,0.7777777777777778
t9,양석환,2018,17,0,0,3,0,2,0,2,6,0,53,0,219,18,15,0.4,0.5471698113207547
t2,김하성,2018,11,3,0,1,1,5,0,3,13,0,57,0,252,18,15,0.3333333333333333,0.3684210526315789
t3,김하성,2018,19,2,0,5,1,10,0,2,10,0,57,2,293,37,15,0.5441176470588235,0.7543859649122807
t4,김하성,2018,8,3,0,2,2,7,0,6,10,0,58,0,261,20,15,0.3283582089552239,0.3793103448275862
t5,김하성,2018,17,2,1,3,0,11,1,1,8,0,61,3,311,19,15,0.4794520547945205,0.5901639344262295
t6,김하성,2018,24,8,0,0,0,10,0,1,6,0,58,0,241,16,15,0.6176470588235294,0.6896551724137931
t7,김하성,2018,23,3,0,4,0,2,0,0,5,0,63,2,234,31,15,0.49230769230769234,0.7142857142857143
t8,김하성,2018,19,4,2,2,0,2,0,1,10,0,63,0,260,17,15,0.4461538461538462,0.6507936507936508
t9,김하성,2018,19,1,1,3,1,6,1,2,10,0,57,1,246,16,15,0.49230769230769234,0.631578947368421
t2,채은성,2018,15,4,0,2,1,5,1,1,15,0,54,1,233,33,15,0.45901639344262296,0.5740740740740741
t3,채은성,2018,22,3,0,4,0,5,0,1,14,0,57,0,234,17,15,0.5483870967741935,0.7719298245614035
t4,채은성,2018,21,5,1,3,3,4,0,1,10,0,59,0,233,20,15,0.5606060606060606,0.7796610169491526
t5,채은성,2018,15,2,0,3,1,5,0,1,12,0,52,0,218,21,15,0.4482758620689655,0.5961538461538461
t6,채은성,2018,20,3,0,1,2,6,0,2,10,0,57,0,242,17,15,0.49230769230769234,0.5263157894736842
t7,채은성,2018,23,7,1,5,0,2,0,2,9,0,62,1,262,18,15,0.59375,0.967741935483871
t8,채은성,2018,22,5,0,3,0,3,0,2,9,0,59,1,230,16,15,0.532258064516129,0.7457627118644068
t9,채은성,2018,16,4,0,0,1,2,0,2,8,0,55,0,209,19,15,0.39655172413793105,0.43636363636363634
t2,허경민,2018,19,5,1,3,2,9,0,4,9,0,65,4,313,18,15,0.5131578947368421,0.676923076923077
t3,허경민,2018,23,1,0,0,2,3,0,3,7,0,60,4,246,38,15,0.4461538461538462,0.4166666666666667
t4,허경민,2018,14,3,0,1,2,2,0,2,10,1,61,2,241,20,15,0.3333333333333333,0.39344262295081966
t5,허경민,2018,25,5,1,1,1,2,0,2,0,0,65,2,239,20,15,0.5147058823529411,0.6461538461538462
t6,허경민,2018,28,5,0,4,2,5,0,1,6,0,63,1,283,17,15,0.6285714285714286,0.8571428571428571
t7,허경민,2018,16,5,1,0,0,4,0,1,2,1,55,0,242,19,15,0.43333333333333335,0.5272727272727272
t8,허경민,2018,18,2,0,1,2,1,0,1,5,0,51,1,180,19,15,0.4444444444444444,0.5098039215686274
t9,허경민,2018,11,2,1,0,2,3,0,0,9,3,49,2,201,22,15,0.3333333333333333,0.3673469387755102
t2,양의지,2018,11,1,0,1,2,5,0,1,6,0,48,0,210,18,15,0.36363636363636365,0.3541666666666667
t3,양의지,2018,13,3,0,1,1,6,0,0,3,0,44,2,217,19,15,0.47058823529411764,0.5227272727272727
t4,양의지,2018,15,2,0,2,1,2,0,4,3,0,48,1,157,20,15,0.43137254901960786,0.5625
t5,양의지,2018,17,3,0,3,0,7,0,3,2,0,51,0,210,20,15,0.5172413793103449,0.6862745098039216
t6,양의지,2018,22,4,1,6,1,7,2,2,3,0,51,0,207,18,15,0.7049180327868853,1.1176470588235294
t7,양의지,2018,20,2,0,2,1,3,1,1,8,0,55,0,209,20,15,0.48333333333333334,0.5818181818181818
t8,양의지,2018,21,6,0,4,1,5,1,0,4,0,49,1,218,17,15,0.6785714285714286,1.0
t9,양의지,2018,18,4,0,2,3,6,1,0,6,0,48,2,217,19,15,0.5862068965517241,0.7083333333333334
t2,신본기,2018,14,2,0,2,1,2,0,1,15,0,53,0,219,35,15,0.375,0.49056603773584906
t3,신본기,2018,17,0,0,0,1,2,0,1,8,0,48,0,192,19,15,0.39215686274509803,0.3541666666666667
t4,신본기,2018,10,3,0,2,2,6,0,1,10,0,44,0,205,20,15,0.4423076923076923,0.5454545454545454
t5,신본기,2018,19,6,0,2,1,6,0,1,7,2,53,0,228,19,15,0.5483870967741935,0.7358490566037735
t6,신본기,2018,11,4,1,0,0,5,0,1,13,2,42,0,205,18,15,0.42857142857142855,0.5238095238095238
t7,신본기,2018,13,4,0,0,2,6,2,1,12,0,47,0,211,18,15,0.47368421052631576,0.44680851063829785
t8,신본기,2018,16,2,0,3,3,3,0,2,6,1,51,1,184,16,15,0.46551724137931033,0.6274509803921569
t9,신본기,2018,19,6,0,1,0,1,0,3,13,0,56,0,203,20,15,0.47368421052631576,0.625
t2,김민성,2018,13,4,0,0,2,5,0,1,11,0,49,0,226,19,15,0.42857142857142855,0.42857142857142855
t3,김민성,2018,11,1,0,2,0,1,0,0,4,0,35,0,137,39,15,0.4166666666666667,0.6
t4,김민성,2018,18,4,0,1,1,8,0,0,10,0,50,0,251,21,15,0.5423728813559322,0.6
t5,김민성,2018,11,3,0,1,0,7,2,1,14,0,51,0,259,20,15,0.4,0.4117647058823529
t6,김민성,2018,13,2,0,0,2,2,1,1,11,0,54,0,209,17,15,0.3389830508474576,0.3148148148148148
t7,김민성,2018,17,4,0,2,0,6,0,1,6,1,48,1,243,20,15,0.5272727272727272,0.6875
t8,김민성,2018,10,0,0,0,1,7,0,1,8,0,43,0,221,23,15,0.35294117647058826,0.23255813953488372
t9,김민성,2018,16,4,0,3,0,2,0,0,8,0,52,0,193,17,15,0.46296296296296297,0.6923076923076923
t2,강백호,2018,15,2,1,5,1,8,0,0,14,0,59,0,292,17,15,0.47058823529411764,0.711864406779661
t3,강백호,2018,15,3,0,2,0,9,0,1,17,0,57,0,277,37,15,0.4393939393939394,0.5087719298245614
t4,강백호,2018,15,1,0,5,0,7,0,0,15,0,58,0,260,21,15,0.4307692307692308,0.6379310344827587
t5,강백호,2018,20,3,1,1,1,0,0,0,18,0,62,1,253,21,15,0.4126984126984127,0.532258064516129
t6,강백호,2018,17,3,0,5,1,6,0,0,9,0,53,0,224,19,15,0.5333333333333333,0.8113207547169812
t7,강백호,2018,17,6,0,2,0,6,0,0,9,0,50,0,229,21,15,0.5535714285714286,0.74
t8,강백호,2018,10,4,0,0,0,4,0,2,12,0,53,0,225,18,15,0.3157894736842105,0.33962264150943394
