,PCODE,NAME,year,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,start_date,end_date,gap,게임수,출루,장타,series_index
41,60558.0,오태곤,2019,15,61,9,14,3,0,0,17,3,3,0,4,2,0,12,1,2,0,251,9.0,2019-05-11,2019-05-30,-19 days,15,0.3333333333333333,0.32786885245901637,t5
42,60558.0,오태곤,2019,12,46,10,13,2,0,2,21,7,1,2,12,0,0,9,0,1,0,224,2.0,2019-04-13,2019-05-10,-27 days,15,0.4915254237288136,0.5434782608695652,t6
43,60558.0,오태곤,2019,10,30,1,5,0,0,0,5,1,3,0,3,2,0,9,2,0,1,134,1.0,2019-03-26,2019-04-11,-16 days,15,0.2857142857142857,0.16666666666666666,t7
44,60558.0,오태곤,2019,2,7,2,2,0,0,0,2,0,2,0,1,0,0,2,0,0,0,29,1.0,2019-03-23,2019-03-24,-1 days,2,0.375,0.2857142857142857,t8
45,60558.0,오태곤,2020,14,54,13,12,3,0,1,18,8,3,1,5,1,0,15,0,1,0,228,6.0,2020-10-09,2020-10-30,-21 days,15,0.36065573770491804,0.4074074074074074,t0
46,60558.0,오태곤,2020,15,53,3,14,1,0,1,18,8,5,3,4,0,0,10,3,1,0,210,5.0,2020-09-16,2020-10-08,-22 days,15,0.3448275862068966,0.37735849056603776,t1
47,60558.0,오태곤,2020,12,50,11,19,4,0,3,32,9,5,1,2,1,0,5,1,1,0,191,3.0,2020-08-27,2020-09-15,-19 days,15,0.5370370370370371,0.78,t2
48,60558.0,오태곤,2020,7,30,2,8,3,0,0,11,5,1,1,1,1,0,3,1,1,0,114,2.0,2020-07-09,2020-08-25,-47 days,15,0.3939393939393939,0.4666666666666667,t3
49,60558.0,오태곤,2020,3,20,3,8,1,0,0,9,4,0,0,0,2,0,7,0,0,0,92,0.0,2020-06-19,2020-07-07,-18 days,15,0.5,0.5,t4
50,60558.0,오태곤,2020,4,22,4,3,0,1,0,5,1,1,0,1,2,0,4,1,0,0,77,1.0,2020-05-13,2020-06-02,-20 days,15,0.28,0.2727272727272727,t5
51,60558.0,오태곤,2020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0.0,2020-05-07,2020-05-12,-5 days,4,0.0,0.0,t6
52,60558.0,오태곤,2021,3,18,4,4,0,0,1,7,2,0,0,1,1,0,4,1,0,0,74,2.0,2021-08-13,2021-09-04,-22 days,15,0.35,0.4444444444444444,t0
53,60558.0,오태곤,2021,6,27,6,10,3,0,0,13,1,0,2,3,0,0,4,1,0,0,117,2.0,2021-06-23,2021-08-11,-49 days,15,0.5333333333333333,0.5925925925925926,t1
54,60558.0,오태곤,2021,5,25,3,5,0,0,2,11,6,0,1,1,0,0,7,2,0,0,98,2.0,2021-05-30,2021-06-22,-23 days,15,0.3076923076923077,0.52,t2
55,60558.0,오태곤,2021,4,27,6,8,1,0,1,12,6,5,0,1,0,0,8,0,0,0,101,2.0,2021-05-08,2021-05-29,-21 days,15,0.39285714285714285,0.5185185185185185,t3
56,60558.0,오태곤,2021,3,23,3,4,0,0,0,4,0,0,1,2,0,0,8,0,0,0,95,3.0,2021-04-17,2021-05-06,-19 days,15,0.24,0.17391304347826086,t4
57,60558.0,오태곤,2021,5,19,3,4,1,0,1,8,3,0,0,1,0,0,6,0,0,0,83,4.0,2021-04-04,2021-04-16,-12 days,8,0.35,0.5263157894736842,t5
58,61102.0,유강남,2018,13,51,3,14,5,0,0,19,7,0,0,5,0,0,10,1,0,0,209,2.0,2018-09-19,2018-10-13,-24 days,15,0.42857142857142855,0.47058823529411764,t0
59,61102.0,유강남,2018,13,48,8,21,6,0,4,39,9,0,0,4,1,1,9,2,2,0,192,6.0,2018-08-14,2018-09-18,-35 days,15,0.6607142857142857,1.0208333333333333,t1
60,61102.0,유강남,2018,12,45,3,13,7,0,0,20,4,0,0,1,1,0,7,3,0,1,163,6.0,2018-07-24,2018-08-12,-19 days,15,0.46808510638297873,0.6,t2
61,61102.0,유강남,2018,12,47,9,16,1,0,6,35,15,0,0,1,3,0,5,2,0,0,192,6.0,2018-06-30,2018-07-22,-22 days,15,0.5294117647058824,0.8936170212765957,t3
62,61102.0,유강남,2018,10,44,4,14,4,0,0,18,2,0,0,3,0,0,5,3,0,0,165,2.0,2018-06-09,2018-06-29,-20 days,15,0.44680851063829785,0.5,t4
63,61102.0,유강남,2018,12,46,4,7,1,0,1,11,5,0,0,2,3,0,11,1,0,0,193,2.0,2018-05-20,2018-06-08,-19 days,15,0.27450980392156865,0.2826086956521739,t5
64,61102.0,유강남,2018,12,50,2,9,2,0,0,11,3,0,0,2,0,0,10,3,0,0,208,2.0,2018-05-01,2018-05-19,-18 days,15,0.25,0.26,t6
65,61102.0,유강남,2018,14,55,12,18,4,0,5,37,15,0,0,5,0,0,17,4,0,0,239,5.0,2018-04-11,2018-04-29,-18 days,15,0.5333333333333333,0.8363636363636363,t7
66,61102.0,유강남,2018,12,39,8,14,3,0,3,26,6,0,0,5,1,0,6,2,0,0,186,2.0,2018-03-24,2018-04-10,-17 days,12,0.5777777777777777,0.8205128205128205,t8
67,61102.0,유강남,2019,14,43,4,12,2,0,3,23,4,0,0,4,1,0,8,2,0,0,172,3.0,2019-09-16,2019-10-10,-24 days,15,0.4583333333333333,0.6511627906976745,t0
68,61102.0,유강남,2019,14,49,2,15,3,0,1,21,4,0,0,3,0,1,16,0,1,0,209,3.0,2019-08-25,2019-09-15,-21 days,15,0.42592592592592593,0.5102040816326531,t1
69,61102.0,유강남,2019,12,43,6,13,3,0,3,25,8,0,0,7,3,1,10,2,0,0,202,5.0,2019-08-07,2019-08-24,-17 days,15,0.5555555555555556,0.7209302325581395,t2
70,61102.0,유강남,2019,14,49,5,9,0,0,1,12,4,0,0,3,1,0,8,7,0,1,195,3.0,2019-07-11,2019-08-06,-26 days,15,0.2641509433962264,0.2653061224489796,t3
71,61102.0,유강남,2019,13,48,6,15,2,0,2,23,7,0,0,3,1,0,6,3,0,1,204,11.0,2019-06-21,2019-07-09,-18 days,15,0.4423076923076923,0.5625,t4
72,61102.0,유강남,2019,14,48,4,14,4,0,1,21,4,0,0,3,2,0,8,1,0,1,210,1.0,2019-05-22,2019-06-20,-29 days,15,0.4528301886792453,0.5416666666666666,t5
73,61102.0,유강남,2019,13,49,4,12,0,0,0,12,4,0,0,0,1,0,11,1,0,1,186,4.0,2019-05-03,2019-05-21,-18 days,15,0.26,0.24489795918367346,t6
74,61102.0,유강남,2019,13,51,9,13,4,0,3,26,8,0,0,5,3,0,9,3,0,1,254,3.0,2019-04-13,2019-05-02,-19 days,15,0.4745762711864407,0.6470588235294118,t7
75,61102.0,유강남,2019,13,49,5,13,5,0,3,27,7,0,0,2,1,0,6,3,0,1,204,8.0,2019-03-26,2019-04-12,-17 days,15,0.46153846153846156,0.7142857142857143,t8
76,61102.0,유강남,2019,2,7,1,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,39,0.0,2019-03-23,2019-03-24,-1 days,2,0.375,0.2857142857142857,t9
77,61102.0,유강남,2020,15,45,6,11,1,0,2,18,6,0,0,8,2,0,6,1,0,0,239,4.0,2020-10-11,2020-11-05,-25 days,15,0.43636363636363634,0.4666666666666667,t0
78,61102.0,유강남,2020,11,37,3,9,2,0,1,14,3,0,0,4,2,0,2,3,2,0,154,3.0,2020-09-26,2020-10-10,-14 days,15,0.4,0.4594594594594595,t1
79,61102.0,유강남,2020,15,50,2,9,3,0,0,12,3,0,0,1,1,0,10,2,0,0,181,7.0,2020-09-06,2020-09-24,-18 days,15,0.2692307692307692,0.3,t2
80,61102.0,유강남,2020,13,47,4,10,1,0,4,23,8,0,0,4,1,0,13,3,0,0,196,4.0,2020-08-18,2020-09-04,-17 days,15,0.38461538461538464,0.5957446808510638,t3
81,61102.0,유강남,2020,14,49,11,14,2,0,3,25,13,0,0,5,0,0,12,3,0,0,177,8.0,2020-07-28,2020-08-16,-19 days,15,0.4444444444444444,0.6122448979591837,t4
82,61102.0,유강남,2020,15,60,4,14,2,0,1,19,7,0,0,2,2,0,15,2,0,0,227,7.0,2020-07-04,2020-07-26,-22 days,15,0.328125,0.36666666666666664,t5
83,61102.0,유강남,2020,12,46,5,13,2,0,1,18,6,0,0,1,1,0,6,2,0,0,163,5.0,2020-06-17,2020-07-03,-16 days,15,0.375,0.45652173913043476,t6
84,61102.0,유강남,2020,12,47,11,21,3,0,2,30,18,0,0,2,2,0,10,0,0,1,188,9.0,2020-05-30,2020-06-16,-17 days,15,0.5882352941176471,0.7446808510638298,t7
85,61102.0,유강남,2020,14,44,4,7,0,0,1,10,4,1,1,4,3,1,9,1,0,0,176,7.0,2020-05-12,2020-05-29,-17 days,15,0.3076923076923077,0.25,t8
86,61102.0,유강남,2020,5,15,1,4,2,0,1,9,6,0,0,1,0,0,4,1,0,1,70,1.0,2020-05-05,2020-05-10,-5 days,5,0.5,0.8,t9
87,61102.0,유강남,2021,14,43,3,10,1,0,0,11,1,0,0,1,2,1,11,1,1,0,172,3.0,2021-08-15,2021-09-08,-24 days,15,0.3125,0.27906976744186046,t0
88,61102.0,유강남,2021,14,48,2,12,3,0,1,18,11,0,0,3,1,0,4,0,0,1,184,1.0,2021-06-19,2021-08-14,-56 days,15,0.38461538461538464,0.4583333333333333,t1
89,61102.0,유강남,2021,13,49,4,10,2,0,1,15,8,0,0,2,2,0,11,3,1,1,218,3.0,2021-05-28,2021-06-17,-20 days,15,0.3148148148148148,0.3673469387755102,t2
90,61102.0,유강남,2021,12,42,4,12,1,0,2,19,7,1,0,4,1,0,9,2,0,0,189,3.0,2021-05-09,2021-05-27,-18 days,15,0.425531914893617,0.5238095238095238,t3
91,61102.0,유강남,2021,15,55,4,13,3,0,0,16,6,0,0,2,2,0,8,2,0,0,225,7.0,2021-04-18,2021-05-09,-21 days,15,0.3389830508474576,0.34545454545454546,t4
92,61102.0,유강남,2021,10,36,5,10,1,0,2,17,8,1,0,5,2,0,4,0,0,0,173,8.0,2021-04-04,2021-04-17,-13 days,12,0.46511627906976744,0.5555555555555556,t5
93,61114.0,김재율,2018,5,23,4,5,3,0,0,8,3,0,0,1,1,0,4,0,0,0,104,3.0,2018-06-23,2018-08-08,-46 days,15,0.4,0.4782608695652174,t0
94,61114.0,김재율,2018,7,13,1,3,0,0,0,3,0,0,0,2,1,0,5,1,0,0,77,0.0,2018-05-04,2018-06-22,-49 days,10,0.375,0.23076923076923078,t1
95,61186.0,이천웅,2018,14,54,12,20,6,1,0,28,7,0,4,7,2,0,5,1,0,0,221,6.0,2018-09-15,2018-10-13,-28 days,15,0.5714285714285714,0.6481481481481481,t0
96,61186.0,이천웅,2018,15,56,10,12,1,0,0,13,6,3,1,7,1,0,6,4,1,1,246,2.0,2018-08-10,2018-09-14,-35 days,15,0.3230769230769231,0.25,t1
97,61186.0,이천웅,2018,11,51,8,20,6,1,0,28,3,0,1,4,0,0,3,1,0,0,207,1.0,2018-07-22,2018-08-09,-18 days,15,0.5636363636363636,0.6862745098039216,t2
98,61186.0,이천웅,2018,11,46,8,17,1,0,1,21,8,1,2,3,0,0,7,3,0,1,187,4.0,2018-06-29,2018-07-21,-22 days,15,0.4489795918367347,0.5,t3
99,61186.0,이천웅,2018,12,47,8,18,2,0,0,20,2,3,1,6,0,1,8,0,0,0,186,5.0,2018-06-09,2018-06-27,-18 days,15,0.5,0.46808510638297873,t4
100,61186.0,이천웅,2018,13,53,7,15,3,1,1,23,10,1,1,6,0,1,10,0,0,0,206,6.0,2018-05-23,2018-06-08,-16 days,15,0.45,0.5283018867924528,t5
101,61186.0,이천웅,2018,11,43,6,17,3,0,0,20,2,2,0,4,0,0,8,1,1,0,178,4.0,2018-04-08,2018-05-22,-44 days,15,0.5,0.5348837209302325,t6
102,61186.0,이천웅,2018,1,9,2,3,0,0,0,3,1,0,0,2,0,0,1,1,0,0,38,0.0,2018-03-27,2018-04-07,-11 days,7,0.45454545454545453,0.3333333333333333,t7
103,61186.0,이천웅,2019,15,58,10,17,0,0,0,17,3,3,0,9,0,0,10,1,1,0,281,3.0,2019-09-14,2019-10-10,-26 days,15,0.38235294117647056,0.29310344827586204,t0
104,61186.0,이천웅,2019,15,66,10,19,3,1,0,24,3,2,0,5,0,0,9,1,0,0,252,4.0,2019-08-23,2019-09-13,-21 days,15,0.39436619718309857,0.42424242424242425,t1
105,61186.0,이천웅,2019,15,56,11,17,0,0,0,17,3,1,1,5,2,0,8,2,0,1,267,2.0,2019-08-04,2019-08-22,-18 days,15,0.38095238095238093,0.30357142857142855,t2
106,61186.0,이천웅,2019,15,65,18,25,6,1,0,33,5,4,1,3,2,0,8,1,1,0,243,6.0,2019-07-07,2019-08-03,-27 days,15,0.5211267605633803,0.6153846153846154,t3
107,61186.0,이천웅,2019,15,60,7,18,3,0,0,21,5,1,1,5,1,0,12,0,0,0,259,5.0,2019-06-19,2019-07-06,-17 days,15,0.4090909090909091,0.4,t4
108,61186.0,이천웅,2019,15,64,10,21,5,0,0,26,5,1,2,9,0,0,4,3,0,0,308,7.0,2019-06-01,2019-06-18,-17 days,15,0.4794520547945205,0.484375,t5
109,61186.0,이천웅,2019,15,58,7,14,1,0,1,18,5,1,3,11,0,1,13,1,0,0,275,3.0,2019-05-14,2019-05-31,-17 days,15,0.4,0.3448275862068966,t6
110,61186.0,이천웅,2019,15,63,7,20,2,0,1,25,10,5,2,3,0,0,8,2,3,0,245,5.0,2019-04-24,2019-05-12,-18 days,15,0.37681159420289856,0.4444444444444444,t7
111,61186.0,이천웅,2019,15,63,11,20,3,1,0,25,9,2,0,9,0,0,12,2,0,0,257,6.0,2019-04-05,2019-04-23,-18 days,15,0.4583333333333333,0.4603174603174603,t8
112,61186.0,이천웅,2019,2,13,0,4,1,0,0,5,2,1,0,1,0,0,3,0,0,0,56,2.0,2019-03-24,2019-04-04,-11 days,8,0.42857142857142855,0.46153846153846156,t9
113,61186.0,이천웅,2020,3,19,0,2,0,0,0,2,3,1,0,2,0,0,2,1,0,1,78,0.0,2020-10-02,2020-11-05,-34 days,15,0.19047619047619047,0.10526315789473684,t0
114,61186.0,이천웅,2020,15,56,4,12,4,0,1,19,4,1,0,4,0,0,10,4,0,0,235,9.0,2020-09-11,2020-10-01,-20 days,15,0.35,0.42857142857142855,t1
115,61186.0,이천웅,2020,15,56,10,17,2,1,1,24,10,1,0,9,3,0,8,0,0,1,283,8.0,2020-07-03,2020-09-10,-69 days,15,0.4852941176470588,0.5,t2
116,61186.0,이천웅,2020,15,52,9,16,0,0,0,16,10,0,3,8,1,0,6,1,2,2,262,3.0,2020-06-14,2020-07-02,-18 days,15,0.3968253968253968,0.3076923076923077,t3
117,61186.0,이천웅,2020,14,64,6,14,3,0,0,17,6,1,1,6,0,0,6,0,0,1,275,3.0,2020-05-28,2020-06-13,-16 days,15,0.32857142857142857,0.3125,t4
118,61186.0,이천웅,2020,15,61,14,18,2,0,1,23,4,4,0,6,0,0,11,1,0,1,262,6.0,2020-05-07,2020-05-27,-20 days,15,0.40298507462686567,0.4262295081967213,t5
119,61186.0,이천웅,2020,2,8,1,3,0,1,0,5,0,0,1,0,0,0,1,0,0,0,37,2.0,2020-05-05,2020-05-06,-1 days,2,0.5,0.75,t6
120,61186.0,이천웅,2021,6,27,3,2,0,0,0,2,2,0,0,6,0,0,3,2,0,0,139,3.0,2021-06-26,2021-08-26,-61 days,15,0.24242424242424243,0.07407407407407407,t0
121,61186.0,이천웅,2021,9,43,6,11,1,0,0,12,6,1,2,5,2,0,7,3,0,1,191,6.0,2021-06-01,2021-06-26,-25 days,15,0.38,0.3023255813953488,t1
122,61186.0,이천웅,2021,14,55,7,13,2,0,2,21,7,1,0,7,1,0,3,3,1,0,246,7.0,2021-05-13,2021-05-30,-17 days,15,0.390625,0.45454545454545453,t2
123,61186.0,이천웅,2021,9,38,2,7,3,0,0,10,0,1,0,7,0,0,8,2,0,0,184,1.0,2021-04-16,2021-05-12,-26 days,15,0.37777777777777777,0.34210526315789475,t3
124,61186.0,이천웅,2021,4,18,2,3,1,0,0,4,1,0,0,0,0,0,2,1,0,0,61,0.0,2021-04-04,2021-04-15,-11 days,8,0.2222222222222222,0.2777777777777778,t4
125,61197.0,최영진,2018,5,27,5,8,2,0,2,16,3,0,0,5,0,0,7,2,0,0,119,3.0,2018-09-14,2018-10-13,-29 days,15,0.53125,0.7407407407407407,t0
126,61197.0,최영진,2018,10,41,3,12,2,0,0,14,7,0,1,3,0,0,11,3,1,1,185,4.0,2018-08-08,2018-09-13,-36 days,15,0.37777777777777777,0.3902439024390244,t1
127,61197.0,최영진,2018,9,38,4,14,2,0,2,22,6,2,2,1,0,0,6,0,1,0,137,5.0,2018-07-08,2018-08-05,-28 days,15,0.475,0.6842105263157895,t2
128,61197.0,최영진,2018,3,19,1,3,1,0,0,4,2,0,1,1,0,0,5,1,0,1,71,2.0,2018-03-29,2018-07-06,-99 days,15,0.25,0.2631578947368421,t3
129,61197.0,최영진,2019,6,19,2,5,1,0,0,6,0,0,0,2,0,1,2,1,1,0,82,3.0,2019-09-05,2019-09-29,-24 days,15,0.391304347826087,0.3684210526315789,t0
130,61197.0,최영진,2019,7,33,3,4,1,0,1,8,2,1,0,1,1,0,9,0,1,0,132,1.0,2019-07-03,2019-09-04,-63 days,15,0.2222222222222222,0.30303030303030304,t1
131,61197.0,최영진,2019,11,43,5,10,0,0,2,16,5,1,1,2,0,1,5,2,1,0,190,3.0,2019-06-12,2019-07-02,-20 days,15,0.3191489361702128,0.4186046511627907,t2
132,61197.0,최영진,2019,15,53,6,12,5,0,1,20,6,1,0,5,0,0,9,0,0,0,232,5.0,2019-05-24,2019-06-11,-18 days,15,0.39655172413793105,0.49056603773584906,t3
133,61197.0,최영진,2019,14,54,6,14,0,1,0,16,4,0,0,0,1,0,14,1,2,0,205,3.0,2019-05-02,2019-05-23,-21 days,15,0.2807017543859649,0.3148148148148148,t4
134,61197.0,최영진,2019,9,36,3,14,7,0,0,21,1,1,0,2,0,0,6,0,2,0,119,4.0,2019-03-30,2019-05-01,-32 days,15,0.575,0.7777777777777778,t5
135,61197.0,최영진,2019,3,13,4,4,1,0,1,8,2,0,0,2,0,0,2,0,1,0,61,2.0,2019-03-23,2019-03-29,-6 days,6,0.5,0.7692307692307693,t6
136,61197.0,최영진,2020,6,27,3,10,2,0,0,12,0,1,1,4,1,0,4,2,1,0,126,4.0,2020-07-19,2020-10-30,-103 days,15,0.5151515151515151,0.5185185185185185,t0
137,61197.0,최영진,2020,5,28,5,7,1,0,0,8,3,1,0,2,0,0,5,0,0,1,99,1.0,2020-06-30,2020-07-18,-18 days,15,0.3333333333333333,0.32142857142857145,t1
138,61197.0,최영진,2020,8,33,4,9,0,0,1,12,6,0,1,5,0,0,4,1,0,0,132,3.0,2020-06-07,2020-06-28,-21 days,15,0.39473684210526316,0.3939393939393939,t2
139,61197.0,최영진,2020,1,13,3,4,0,0,0,4,2,0,1,2,1,0,3,0,0,0,65,0.0,2020-05-05,2020-06-06,-32 days,13,0.4375,0.3076923076923077,t3
140,61197.0,최영진,2021,5,31,4,10,0,1,1,15,3,1,0,1,0,0,9,0,0,0,133,3.0,2021-06-22,2021-09-05,-75 days,15,0.40625,0.5483870967741935,t0
141,61197.0,최영진,2021,2,12,3,5,1,1,0,8,2,0,0,0,1,0,1,0,0,0,52,2.0,2021-05-19,2021-06-20,-32 days,13,0.6153846153846154,0.8333333333333334,t1
142,61204.0,김동한,2018,4,20,1,3,0,0,0,3,2,1,0,4,0,0,2,0,0,0,99,3.0,2018-07-18,2018-10-14,-88 days,15,0.2916666666666667,0.15,t0
