,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,start_date,end_date,gap,게임수,장타
22,58,8,15,2,0,5,33,10,0,0,5,0,0,10,2,0,0,272,7.036770856360054,2021-05-09,2021-05-30,-21 days,14,0.7199810399752327
23,58,9,16,2,0,5,32,10,0,0,6,0,0,11,2,0,0,273,6.935168277265839,2021-05-09,2021-05-30,-21 days,14,0.720539908455052
24,59,8,15,2,0,4,33,10,0,0,6,0,0,10,1,0,0,272,6.9798631385755865,2021-05-09,2021-05-30,-21 days,15,0.7183435224873231
25,59,8,15,1,0,5,33,10,0,0,6,0,0,10,1,0,0,270,6.978185777119997,2021-05-09,2021-05-30,-21 days,14,0.7206335668054479
26,58,9,16,1,0,4,32,9,0,0,5,0,0,10,2,0,0,272,6.87509893168956,2021-05-09,2021-05-30,-21 days,14,0.7208852019569985
27,59,9,15,2,0,4,32,10,0,0,6,0,0,10,1,0,0,272,6.947709747409683,2021-05-09,2021-05-30,-21 days,14,0.7214053997576639
28,12,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,36,0.054077072913761244,2021-05-09,2021-05-30,-21 days,3,0.7195581827042942
29,13,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,35,0.0,2021-05-09,2021-05-30,-21 days,3,0.7204859977738645
30,12,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,34,0.0,2021-05-09,2021-05-30,-21 days,4,0.7213173055515446
31,13,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,35,0.12174806325445356,2021-05-09,2021-05-30,-21 days,4,0.7190787749819301
32,13,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,32,0.04203258345172754,2021-05-09,2021-05-30,-21 days,3,0.721622499048275
33,13,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,34,0.022193616007515606,2021-05-09,2021-05-30,-21 days,3,0.7178854838810552
34,13,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0.0,2021-05-09,2021-05-30,-21 days,3,0.7183630062715995
35,9,2,3,0,0,0,6,1,0,0,0,0,0,2,0,2,0,39,0.003660970263428944,2021-05-09,2021-05-30,-21 days,15,0.7195908713039635
36,8,2,2,0,0,1,6,0,0,0,0,0,0,2,1,1,0,39,0.0713488358668061,2021-05-09,2021-05-30,-21 days,14,0.7186746017471217
37,8,2,2,0,0,0,6,1,0,0,0,0,0,3,1,1,0,37,0.031007418404330675,2021-05-09,2021-05-30,-21 days,14,0.7196691218713406
38,9,1,2,1,0,0,6,1,0,0,0,0,0,3,1,1,0,37,0.025735555982048283,2021-05-09,2021-05-30,-21 days,14,0.7201181086501689
39,9,1,2,0,0,0,7,1,0,0,0,0,0,2,1,2,0,37,0.0,2021-05-09,2021-05-30,-21 days,14,0.7199179984940994
40,8,1,2,0,0,1,6,1,0,0,0,0,0,2,1,1,0,37,0.0,2021-05-09,2021-05-30,-21 days,15,0.7160024642466503
41,8,2,3,0,0,0,6,0,0,0,0,0,0,3,0,1,0,37,0.03667107196130369,2021-05-09,2021-05-30,-21 days,15,0.716861899996234
42,37,6,8,0,0,1,12,1,0,0,8,0,0,6,3,0,0,220,2.9804400030680176,2021-05-09,2021-05-30,-21 days,15,0.7244763150775414
43,38,7,7,0,0,1,11,1,0,0,9,0,0,6,3,0,0,217,3.010547808819091,2021-05-09,2021-05-30,-21 days,14,0.7196510020982222
44,38,7,8,0,0,1,12,1,0,0,8,0,0,6,2,0,0,215,3.022416715705613,2021-05-09,2021-05-30,-21 days,15,0.7209169820438844
45,38,6,8,1,0,0,11,1,0,0,8,0,0,7,2,0,0,217,2.954673745851178,2021-05-09,2021-05-30,-21 days,15,0.7180900995349998
46,38,7,7,0,0,0,11,1,0,0,9,0,0,6,3,0,0,217,3.024713743434312,2021-05-09,2021-05-30,-21 days,15,0.7211916274923638
47,37,7,7,0,0,0,11,1,0,0,8,0,0,6,3,0,0,215,3.1857254159671466,2021-05-09,2021-05-30,-21 days,15,0.7218020824564755
48,38,7,7,1,0,0,11,0,0,0,8,0,0,6,3,0,0,220,2.9767669385123896,2021-05-09,2021-05-30,-21 days,14,0.7223053155432306
49,61,13,20,5,0,1,30,10,0,0,6,0,0,4,2,0,0,234,6.9094545027826095,2021-05-09,2021-05-30,-21 days,15,0.7197563557149899
50,60,12,20,4,0,1,30,9,0,0,6,0,0,4,2,0,0,237,7.016748617207637,2021-05-09,2021-05-30,-21 days,14,0.7193825120800689
51,60,12,19,5,0,2,30,10,0,0,5,0,0,4,2,0,0,236,6.961799008976611,2021-05-09,2021-05-30,-21 days,15,0.7187701241721712
52,61,12,19,4,0,2,30,10,0,0,5,0,0,4,2,0,0,236,7.093987072045825,2021-05-09,2021-05-30,-21 days,14,0.7188591284252033
53,60,12,19,4,0,2,30,9,0,0,6,0,0,5,2,0,0,239,6.957354357497698,2021-05-09,2021-05-30,-21 days,15,0.7238593404776212
54,61,12,19,4,0,2,31,10,0,0,5,0,0,5,3,0,0,234,6.920918673579625,2021-05-09,2021-05-30,-21 days,14,0.7195437152066473
55,61,13,20,4,0,1,30,9,0,0,5,0,0,5,3,0,0,235,6.928404199917011,2021-05-09,2021-05-30,-21 days,14,0.7215265470691017
56,45,10,8,4,0,1,16,7,1,0,7,0,1,16,0,1,4,224,5.040944469361314,2021-05-09,2021-05-30,-21 days,14,0.7217873685678252
57,44,9,9,3,0,0,15,7,0,0,6,0,1,16,0,1,3,222,5.017910108758583,2021-05-09,2021-05-30,-21 days,15,0.7219761173749482
58,44,10,9,3,0,0,15,8,1,0,7,0,1,16,0,0,4,223,5.001286274487278,2021-05-09,2021-05-30,-21 days,14,0.722814850623108
59,45,9,9,3,0,1,15,8,0,0,7,0,1,17,0,1,4,226,5.048535768465622,2021-05-09,2021-05-30,-21 days,15,0.720664630911013
60,45,10,9,4,0,0,16,8,0,0,7,0,0,16,0,1,3,225,4.967212958074784,2021-05-09,2021-05-30,-21 days,14,0.7217891006153686
61,45,9,9,4,0,1,15,7,0,0,6,0,1,17,0,1,3,221,5.029669083819379,2021-05-09,2021-05-30,-21 days,15,0.7184818238192633
62,44,9,9,4,0,0,15,7,1,0,6,0,1,17,0,1,4,224,4.938229220635039,2021-05-09,2021-05-30,-21 days,14,0.7216266744916444
63,52,5,14,2,0,0,16,6,0,0,5,0,1,16,0,0,0,221,3.023716624633915,2021-05-09,2021-05-30,-21 days,15,0.7191226332794798
64,51,5,14,2,0,0,16,6,0,0,5,0,0,15,0,0,0,220,3.052114533469339,2021-05-09,2021-05-30,-21 days,15,0.7233632025350819
65,52,6,14,2,0,0,15,6,0,0,5,0,1,16,0,0,0,221,2.9551264095089036,2021-05-09,2021-05-30,-21 days,15,0.7207518990730934
66,51,5,13,1,0,0,15,6,0,0,5,0,0,15,0,0,0,223,2.955216195547263,2021-05-09,2021-05-30,-21 days,14,0.7155318414442647
67,51,6,14,2,0,0,16,6,0,0,4,0,0,16,0,0,0,220,2.9964621571762793,2021-05-09,2021-05-30,-21 days,15,0.7235705838523029
68,51,5,14,1,0,0,16,6,0,0,4,0,0,15,0,0,0,223,3.0286387712178637,2021-05-09,2021-05-30,-21 days,14,0.7209675140312523
69,51,6,14,1,0,0,16,6,0,0,4,0,1,16,0,0,0,223,2.934413211351291,2021-05-09,2021-05-30,-21 days,15,0.7212934806876732
70,48,4,9,0,0,1,12,3,0,0,2,1,0,7,7,0,0,195,2.919448102953538,2021-05-09,2021-05-30,-21 days,15,0.7217658533819951
71,48,5,8,0,0,0,11,3,0,0,2,1,0,8,7,0,1,198,3.009765875668394,2021-05-09,2021-05-30,-21 days,14,0.7262338163245106
72,48,4,8,0,0,1,12,4,0,0,3,0,0,7,7,0,1,198,3.008109529689659,2021-05-09,2021-05-30,-21 days,14,0.7202604365907805
73,48,5,8,0,0,1,11,4,0,0,3,1,0,7,6,0,1,194,2.9899402216225623,2021-05-09,2021-05-30,-21 days,15,0.7155319927337095
74,49,4,8,0,0,0,11,3,0,0,3,1,0,8,7,0,1,194,2.955866182306409,2021-05-09,2021-05-30,-21 days,14,0.7198478352411786
75,49,4,8,0,0,1,11,3,0,0,3,1,0,7,6,0,1,194,2.929747322582495,2021-05-09,2021-05-30,-21 days,14,0.717898257995863
76,49,5,9,0,0,1,12,4,0,0,2,0,0,8,6,0,1,193,3.1652096381642285,2021-05-09,2021-05-30,-21 days,15,0.7242240521611869
77,57,7,13,0,0,4,28,9,0,0,3,0,0,13,0,0,2,277,7.992047513305919,2021-05-09,2021-05-30,-21 days,14,0.7191498788723637
78,56,8,13,1,0,3,27,9,0,0,4,0,0,13,0,0,1,276,8.013684138573943,2021-05-09,2021-05-30,-21 days,15,0.7241243096576719
79,56,8,13,1,1,4,27,9,0,0,4,0,0,14,0,0,2,276,7.809428015157245,2021-05-09,2021-05-30,-21 days,15,0.7188133922210604
80,57,8,13,1,0,3,28,8,0,0,4,0,0,14,0,0,2,277,8.040984462479301,2021-05-09,2021-05-30,-21 days,15,0.7223868029482964
81,63,8,20,4,0,2,32,9,1,0,3,0,0,9,0,0,0,258,7.1584881049622,2018-04-21,2018-05-09,-18 days,15,0.7618542344798666
82,57,8,13,0,1,3,27,9,0,0,4,0,0,13,0,0,1,278,8.030399334933378,2021-05-09,2021-05-30,-21 days,15,0.7215697337157208
83,56,8,13,1,0,4,27,8,0,0,4,0,0,13,0,0,2,276,7.898951417827271,2021-05-09,2021-05-30,-21 days,15,0.7209347769926607
84,64,19,24,4,0,4,41,11,0,0,7,0,0,10,0,0,0,276,7.014731459141614,2021-05-09,2021-05-30,-21 days,14,0.7229354514383713
85,65,18,24,5,0,3,40,10,1,0,7,0,0,10,0,0,0,278,7.0930586401972455,2021-05-09,2021-05-30,-21 days,15,0.7230230199757627
86,64,19,23,4,0,4,41,11,1,0,8,0,0,11,1,0,0,277,7.004294892897099,2021-05-09,2021-05-30,-21 days,15,0.7245331742280242
87,64,19,23,4,0,4,40,10,0,0,8,0,0,11,1,0,0,278,7.063440968519135,2021-05-09,2021-05-30,-21 days,15,0.7251600107225326
88,64,18,23,4,0,4,40,11,0,0,7,0,0,10,1,0,0,279,7.038174183896716,2021-05-09,2021-05-30,-21 days,15,0.7208464180337328
89,64,18,24,4,0,3,40,10,0,0,7,0,0,11,0,0,0,278,6.895098622348424,2021-05-09,2021-05-30,-21 days,15,0.7239102350589631
90,64,18,23,5,0,4,40,10,1,0,7,0,0,11,0,0,0,277,6.9967614629753285,2021-05-09,2021-05-30,-21 days,14,0.7183413665107137
91,59,13,13,1,1,0,16,1,2,0,9,0,0,9,1,1,0,295,5.9457373637975675,2021-05-09,2021-05-30,-21 days,14,0.725152442678045
92,60,14,12,2,1,0,17,2,3,0,9,0,0,10,0,1,1,296,6.055747145791569,2021-05-09,2021-05-30,-21 days,14,0.7217940016376617
93,59,13,13,2,0,0,16,1,2,0,8,0,0,10,0,1,1,295,5.927403511811682,2021-05-09,2021-05-30,-21 days,15,0.7203621693407222
94,59,13,13,2,0,0,16,2,2,0,8,0,0,9,0,2,1,293,6.072229803400136,2021-05-09,2021-05-30,-21 days,15,0.7213391750243029
95,59,13,13,1,1,0,17,2,3,0,8,0,0,9,0,2,1,294,6.057554703049125,2021-05-09,2021-05-30,-21 days,15,0.7237264655452023
96,59,13,12,1,1,0,16,2,2,0,9,0,0,9,1,2,0,293,5.946758669695399,2021-05-09,2021-05-30,-21 days,14,0.7226943429379996
97,59,13,13,2,1,0,17,2,3,0,8,0,0,10,1,2,1,295,6.015105171444766,2021-05-09,2021-05-30,-21 days,15,0.723946613827914
98,15,2,1,0,0,0,2,0,0,0,1,1,0,9,1,0,0,78,0.05176897492587676,2021-05-09,2021-05-30,-21 days,14,0.7235543927109359
99,16,3,1,0,0,0,2,0,0,0,1,0,0,8,1,0,0,77,0.022783413537341004,2021-05-09,2021-05-30,-21 days,15,0.721518291576271
100,15,3,2,0,0,0,2,0,0,0,0,0,0,9,1,0,0,79,0.0,2021-05-09,2021-05-30,-21 days,15,0.7227442030377949
101,16,3,1,0,0,0,2,1,0,0,1,1,0,9,1,0,0,79,0.0,2021-05-09,2021-05-30,-21 days,15,0.724310064880061
102,15,2,2,0,0,0,2,0,0,0,1,0,0,9,1,0,0,81,0.18246056573560407,2021-05-09,2021-05-30,-21 days,14,0.7213421238401995
103,15,3,2,0,0,0,2,1,0,0,1,0,0,8,1,0,0,83,0.0,2021-05-09,2021-05-30,-21 days,15,0.7253809328402583
104,15,2,2,0,0,0,2,0,0,0,1,1,0,9,0,0,0,80,0.0,2021-05-09,2021-05-30,-21 days,15,0.724022205527973
105,60,6,20,0,0,4,32,13,0,1,3,3,0,10,4,0,0,274,6.888400198424521,2021-05-09,2021-05-30,-21 days,15,0.7215602171970384
106,59,7,20,0,0,3,32,13,0,1,4,2,0,10,4,0,0,274,7.035948571240572,2021-05-09,2021-05-30,-21 days,14,0.7212996361465464
107,59,6,20,0,0,4,32,13,0,1,3,3,0,10,3,0,0,272,7.017008531825719,2021-05-09,2021-05-30,-21 days,15,0.7257206614260817
108,59,6,20,1,0,3,33,12,0,1,3,2,0,10,4,0,0,271,6.917356641784476,2021-05-09,2021-05-30,-21 days,14,0.722439986215002
109,60,7,19,0,0,3,32,12,0,0,4,2,0,11,4,0,0,272,7.024892658580615,2021-05-09,2021-05-30,-21 days,14,0.7248213598945957
110,60,6,20,1,0,3,33,12,0,0,3,3,0,11,3,0,1,274,6.978314501979561,2021-05-09,2021-05-30,-21 days,15,0.7234549726639528
111,60,7,19,0,0,4,33,12,0,1,4,3,0,10,3,0,1,272,7.049551807220151,2021-05-09,2021-05-30,-21 days,14,0.7205016739007127
112,49,3,17,2,0,0,19,5,0,0,2,0,0,7,1,0,2,202,6.862600936068814,2021-05-09,2021-05-30,-21 days,14,0.7246270142159358
113,48,4,16,2,0,0,19,4,0,0,3,0,1,8,1,0,1,200,7.120509898084901,2021-05-09,2021-05-30,-21 days,15,0.7218483582390719
114,48,4,17,2,0,0,19,4,0,0,3,1,1,7,1,0,1,202,7.02709181501914,2021-05-09,2021-05-30,-21 days,14,0.724893811089536
115,48,4,16,2,0,0,18,4,0,0,2,1,0,7,1,0,1,201,6.968192503684978,2021-05-09,2021-05-30,-21 days,14,0.7216004397664973
116,48,3,17,1,0,0,18,4,0,0,3,0,0,7,2,0,2,202,7.028029297222047,2021-05-09,2021-05-30,-21 days,14,0.7206429062832383
117,49,4,16,2,0,0,18,4,0,0,3,1,0,8,1,0,1,202,6.891706980683192,2021-05-09,2021-05-30,-21 days,15,0.7211269475559663
118,48,3,17,2,0,0,18,4,0,0,2,0,1,8,1,0,1,204,6.936328757068629,2021-05-09,2021-05-30,-21 days,15,0.7235369914309808
119,43,10,15,4,0,3,33,11,1,0,7,0,0,9,3,0,0,218,10.053372044052251,2021-05-09,2021-05-30,-21 days,14,0.7150460328661675
120,43,10,16,5,0,3,32,11,0,0,8,0,0,8,2,0,1,215,10.055057671116936,2021-05-09,2021-05-30,-21 days,14,0.7210242951262149
121,43,10,15,5,0,4,33,11,0,0,7,0,0,8,3,0,1,214,9.988464734668513,2021-05-09,2021-05-30,-21 days,14,0.7244122133095559
122,44,11,16,4,0,3,33,10,1,0,7,1,0,8,3,0,1,218,9.986155282144468,2021-05-09,2021-05-30,-21 days,13,0.7194147918070047
123,43,11,16,4,0,4,33,11,1,0,8,1,0,8,2,0,0,219,9.992846907111815,2021-05-09,2021-05-30,-21 days,14,0.7189272166747925
124,44,11,15,4,0,4,32,11,1,0,7,1,0,9,3,0,1,218,9.924967879281162,2021-05-09,2021-05-30,-21 days,13,0.723765439872895
125,53,11,16,5,0,1,25,11,0,0,12,1,0,11,2,0,1,271,5.282080155791695,2019-03-23,2019-04-10,-18 days,14,0.766546329723225
126,56,11,14,4,0,2,25,11,0,0,5,0,0,5,1,1,0,232,6.0,2020-09-26,2020-10-13,-17 days,15,0.7342638925467474
127,56,10,15,3,0,2,27,12,0,0,4,0,0,6,0,1,0,227,6.017203330408526,2021-05-09,2021-05-30,-21 days,15,0.7234811095108779
128,56,10,15,4,0,2,28,11,0,0,4,0,0,6,1,1,0,226,5.975825586425304,2021-05-09,2021-05-30,-21 days,14,0.7237360749008392
129,56,10,15,3,0,2,28,12,0,0,4,0,0,6,1,1,0,228,6.0207050566595175,2021-05-09,2021-05-30,-21 days,15,0.7247489907729912
130,56,10,14,3,0,3,28,11,0,0,4,0,0,6,0,0,0,228,5.979289177906313,2021-05-09,2021-05-30,-21 days,15,0.725175599554589
131,56,10,15,4,0,3,28,11,0,0,5,0,0,6,0,0,0,230,5.946853312847593,2021-05-09,2021-05-30,-21 days,15,0.7253369828110302
132,57,11,14,4,0,2,28,12,0,0,5,0,0,5,0,0,0,226,6.022666180263514,2021-05-09,2021-05-30,-21 days,14,0.7195967452324741
133,55,8,16,0,0,2,27,7,0,0,3,1,0,6,0,0,2,213,9.027142237430532,2021-05-09,2021-05-30,-21 days,15,0.7235523766707291
134,55,8,17,0,0,3,26,7,0,0,3,1,0,5,0,0,2,212,9.075179434712918,2021-05-09,2021-05-30,-21 days,14,0.7237245745376649
135,55,8,17,0,0,2,27,8,0,0,3,1,1,5,0,0,3,210,8.996425920944647,2021-05-09,2021-05-30,-21 days,14,0.7254395843061816
136,55,9,16,0,0,3,26,7,0,0,4,0,0,6,1,0,2,210,9.061771344862027,2021-05-09,2021-05-30,-21 days,14,0.720005042433102
137,55,9,17,0,0,3,27,7,0,0,4,0,1,6,1,0,2,212,9.073685424505763,2021-05-09,2021-05-30,-21 days,15,0.7229565946328723
138,54,9,17,0,0,2,27,7,0,0,4,1,1,5,0,0,2,211,9.049697597891571,2021-05-09,2021-05-30,-21 days,15,0.7202887672664725
139,54,8,16,0,0,2,26,7,0,0,3,1,1,5,0,0,2,212,8.998944152623084,2021-05-09,2021-05-30,-21 days,15,0.7212918368096103
140,58,9,23,7,0,0,34,9,0,0,5,0,0,10,0,0,0,270,7.951722054737539,2021-05-09,2021-05-30,-21 days,15,0.7253510506975522
141,58,9,22,7,0,1,34,9,0,0,5,0,0,10,0,0,0,269,8.00745110394424,2021-05-09,2021-05-30,-21 days,15,0.7265750618075062
142,58,9,22,7,0,0,34,9,0,0,5,0,0,11,0,0,0,269,8.00583563398496,2021-05-09,2021-05-30,-21 days,14,0.7229982166702863
143,58,10,23,7,0,0,34,9,0,0,5,0,0,11,0,0,0,268,7.9386068687942055,2021-05-09,2021-05-30,-21 days,14,0.7241631221787411
144,58,10,22,6,1,0,35,9,0,0,4,0,0,11,0,0,0,269,8.074243143824216,2021-05-09,2021-05-30,-21 days,14,0.7264383627791774
145,58,10,22,6,1,1,34,10,0,0,5,0,0,11,0,0,0,265,7.880564103680833,2021-05-09,2021-05-30,-21 days,14,0.7248421894669916
146,59,9,22,7,0,0,35,9,0,0,5,0,0,11,0,0,0,268,8.0050043783589,2021-05-09,2021-05-30,-21 days,14,0.7216445795825983
147,59,13,23,3,0,1,30,10,0,0,5,1,0,9,1,1,0,231,6.076090327622888,2021-05-09,2021-05-30,-21 days,14,0.7225564574603641
148,60,13,22,4,0,1,29,9,0,0,5,2,0,9,2,1,0,233,5.959483548612116,2021-05-09,2021-05-30,-21 days,14,0.7259232366389758
149,59,12,23,3,0,0,29,9,0,0,5,2,0,10,1,1,0,233,6.041471353701905,2021-05-09,2021-05-30,-21 days,15,0.7228125162896655
150,60,13,23,4,0,1,29,9,0,0,5,2,0,9,1,1,0,233,6.0601075568939615,2021-05-09,2021-05-30,-21 days,15,0.725779919459954
151,60,12,22,3,0,0,30,9,0,0,5,1,0,9,1,0,0,233,6.085421206230365,2021-05-09,2021-05-30,-21 days,14,0.7245995023328747
152,59,12,22,3,0,0,29,10,0,0,5,1,0,10,1,0,0,234,6.011820722566537,2021-05-09,2021-05-30,-21 days,15,0.7219390735036016
153,60,12,22,4,0,1,30,9,1,0,4,1,0,10,2,0,0,234,5.9970359009948835,2021-05-09,2021-05-30,-21 days,15,0.7238362120762367
154,55,8,18,3,0,5,39,15,0,0,7,0,0,7,1,0,0,256,10.04531156669434,2021-05-09,2021-05-30,-21 days,15,0.7229571114419965
155,56,8,18,3,0,6,40,15,0,0,8,0,1,8,0,0,0,255,10.149538500574874,2021-05-09,2021-05-30,-21 days,15,0.7226167359342095
156,55,8,18,3,0,6,40,15,0,0,8,0,0,7,0,0,1,257,9.971521831011232,2021-05-09,2021-05-30,-21 days,14,0.7230794077551798
157,56,8,17,3,0,5,40,16,0,0,8,0,1,8,0,0,0,257,10.107167167900807,2021-05-09,2021-05-30,-21 days,15,0.7251045024054937
158,55,8,17,4,0,5,39,15,0,0,7,0,1,7,1,0,1,256,10.037667652137245,2021-05-09,2021-05-30,-21 days,14,0.7214847078136364
159,55,9,17,3,0,5,39,15,0,0,7,0,0,8,1,0,1,255,10.016017218917085,2021-05-09,2021-05-30,-21 days,14,0.7281064075834496
160,56,9,17,4,0,6,39,15,0,0,7,0,0,8,1,0,0,258,10.015719109641402,2021-05-09,2021-05-30,-21 days,15,0.72699758788822
161,55,6,12,1,0,0,14,6,1,0,1,0,0,9,1,0,0,194,1.9821427606469766,2021-05-09,2021-05-30,-21 days,15,0.7244796169660183
162,55,6,13,2,0,0,14,6,0,0,2,1,0,10,1,0,0,195,1.991772796311088,2021-05-09,2021-05-30,-21 days,14,0.7253520093666698
163,55,6,13,2,0,0,14,6,1,0,2,0,0,9,2,0,1,194,1.9662013358107397,2021-05-09,2021-05-30,-21 days,15,0.7206716241202838
164,55,6,12,2,0,0,14,7,0,0,2,0,0,10,2,0,0,195,2.0816768397288277,2021-05-09,2021-05-30,-21 days,15,0.7251577948457344
165,55,7,12,1,0,0,14,6,0,0,1,0,0,10,2,0,1,196,2.0057690501084458,2021-05-09,2021-05-30,-21 days,15,0.7249715369568542
166,55,6,12,2,0,0,15,6,0,0,2,1,0,9,2,0,1,195,2.0323710397043944,2021-05-09,2021-05-30,-21 days,15,0.723531383456347
167,54,7,12,2,0,0,15,6,1,0,1,0,0,10,2,0,1,198,2.056517960476892,2021-05-09,2021-05-30,-21 days,14,0.7279859195226975
168,37,9,8,0,0,3,18,4,1,0,5,0,0,5,1,0,0,181,2.901552263340973,2021-05-09,2021-05-30,-21 days,15,0.726689828930645
169,36,8,8,0,0,3,17,4,1,0,6,0,0,6,1,0,0,178,3.1304486023068128,2021-05-09,2021-05-30,-21 days,15,0.7207863323592
170,37,9,7,0,0,3,18,4,1,0,5,0,0,6,2,0,0,179,3.200052910382342,2021-05-09,2021-05-30,-21 days,14,0.7268077617563393
171,37,9,8,0,0,3,18,5,0,0,6,0,0,6,2,0,0,179,2.943671525192546,2021-05-09,2021-05-30,-21 days,15,0.7230502759944776
172,36,9,7,1,0,2,17,4,1,0,6,0,0,5,2,0,0,177,3.1310359291371457,2021-05-09,2021-05-30,-21 days,15,0.7257161014985015
173,36,8,7,0,0,2,17,4,0,0,5,0,0,6,2,0,0,179,3.0149104429850846,2021-05-09,2021-05-30,-21 days,14,0.723558009478447
174,37,8,7,0,0,2,17,4,0,0,5,0,0,6,1,0,0,177,3.0366534974157693,2021-05-09,2021-05-30,-21 days,14,0.725183238391548
175,54,7,8,2,0,3,22,10,2,0,7,0,0,17,1,0,1,222,8.01025785396583,2021-05-09,2021-05-30,-21 days,15,0.7259184099269849
176,54,8,9,2,0,4,23,11,2,0,6,0,0,17,0,0,1,227,7.959587382626725,2021-05-09,2021-05-30,-21 days,15,0.7242434659186332
177,53,8,8,1,0,4,23,10,1,0,6,0,0,17,0,0,0,222,8.062471004234569,2021-05-09,2021-05-30,-21 days,14,0.7274783146370325
178,54,7,8,1,0,3,23,11,2,0,7,0,0,18,1,0,1,226,7.914496547975044,2021-05-09,2021-05-30,-21 days,15,0.7221945689609055
179,53,8,8,1,0,3,22,10,2,0,6,0,0,18,1,0,1,225,8.048301409901214,2021-05-09,2021-05-30,-21 days,14,0.7246127723729686
180,54,7,9,2,0,4,22,11,2,0,7,0,0,18,0,0,1,226,8.005162297752992,2021-05-09,2021-05-30,-21 days,14,0.7219462718998888
181,53,8,9,1,0,4,22,11,2,0,7,0,0,18,0,0,1,224,8.007955141456879,2021-05-09,2021-05-30,-21 days,14,0.7259800580756068
