Index_ts,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,num_game,on_base,slg
t4,홍창기,2021,19,4,0,1,5,22,2,1,7,0,62,5,363,20,0.5824175824175825,0.5
t5,홍창기,2021,16,3,0,0,1,10,0,0,11,0,45,5,244,12,0.5357142857142857,0.4888888888888889
t1,박동원,2021,20,4,0,6,1,11,0,4,14,0,75,0,323,20,0.4827586206896552,0.6933333333333334
t2,박동원,2021,9,1,0,2,1,7,0,1,17,0,50,0,230,20,0.3448275862068966,0.38
t3,박동원,2021,20,7,0,2,1,9,0,1,22,0,73,0,368,20,0.46987951807228917,0.5753424657534246
t4,박동원,2021,20,1,0,9,2,8,0,1,15,0,59,0,299,20,0.5797101449275363,0.9830508474576272
t5,박동원,2021,6,1,0,1,1,5,0,1,14,3,31,1,174,12,0.35,0.3870967741935484
t1,김상수,2021,15,2,0,0,0,11,0,0,6,3,58,1,266,20,0.3888888888888889,0.3275862068965517
t2,김상수,2021,17,2,0,0,2,8,0,2,6,1,72,0,297,20,0.3493975903614458,0.2916666666666667
t3,김상수,2021,17,1,0,1,1,10,0,3,5,1,66,1,314,20,0.38461538461538464,0.3484848484848485
t4,김상수,2021,9,2,0,0,0,5,0,0,12,2,66,0,298,20,0.2191780821917808,0.19696969696969696
t5,김상수,2021,11,0,1,0,0,7,0,2,5,1,41,1,205,12,0.3877551020408163,0.34146341463414637
t1,나성범,2021,23,5,0,3,1,5,1,1,18,0,78,0,302,20,0.4470588235294118,0.5769230769230769
t2,나성범,2021,21,4,0,5,0,8,0,0,20,0,82,1,348,20,0.4222222222222222,0.5975609756097561
t3,나성범,2021,17,2,0,7,4,7,0,2,23,0,74,0,368,20,0.43529411764705883,0.6621621621621622
t4,나성범,2021,29,6,0,4,5,5,0,2,11,0,81,0,336,20,0.5384615384615384,0.7037037037037037
t5,나성범,2021,16,3,1,3,1,3,1,0,12,0,51,0,203,12,0.5,0.7254901960784313
t1,알테어,2021,13,1,0,3,1,12,1,2,23,0,68,3,360,20,0.3780487804878049,0.39705882352941174
t2,알테어,2021,17,2,0,5,1,9,0,0,17,0,65,2,292,20,0.4533333333333333,0.6307692307692307
t3,알테어,2021,20,2,0,8,1,5,0,1,24,0,72,1,293,20,0.46153846153846156,0.7777777777777778
t4,알테어,2021,18,4,0,1,2,6,0,1,24,0,68,1,313,20,0.40789473684210525,0.4411764705882353
t5,알테어,2021,15,4,0,4,3,2,0,0,8,0,40,1,161,11,0.6222222222222222,0.975
t1,김민수,2021,15,4,1,1,2,7,0,2,16,3,58,0,285,20,0.42857142857142855,0.5172413793103449
t2,김민수,2021,10,1,0,1,1,3,0,2,16,0,54,0,223,20,0.27586206896551724,0.2962962962962963
t3,김민수,2021,12,3,0,0,0,4,0,0,15,0,45,0,186,20,0.3877551020408163,0.4
t4,김민수,2021,9,3,0,3,1,3,0,2,9,1,42,0,163,20,0.40425531914893614,0.6428571428571429
t5,김민수,2021,10,2,0,0,0,2,0,0,0,1,22,0,92,11,0.56,0.6363636363636364
t1,한유섬,2021,16,1,0,8,0,9,0,5,13,1,74,0,347,20,0.40476190476190477,0.6756756756756757
t2,한유섬,2021,19,4,0,4,0,4,0,0,23,0,72,0,316,20,0.40789473684210525,0.5972222222222222
t3,한유섬,2021,17,3,0,4,4,6,1,2,14,0,57,0,254,20,0.5147058823529411,0.6842105263157895
t4,한유섬,2021,19,2,0,4,3,11,1,1,15,0,60,0,293,20,0.5333333333333333,0.65
t5,한유섬,2021,7,2,0,0,3,5,0,0,8,0,36,0,176,11,0.38636363636363635,0.3055555555555556
t1,최지훈,2021,17,3,0,0,2,5,0,1,7,2,71,1,276,20,0.3375,0.323943661971831
t2,최지훈,2021,14,3,1,0,0,7,0,1,10,1,60,3,288,20,0.36764705882352944,0.38333333333333336
t3,최지훈,2021,9,1,0,0,1,6,0,2,9,1,65,4,266,20,0.2328767123287671,0.16923076923076924
t4,최지훈,2021,27,4,1,4,2,15,0,1,11,1,73,8,364,20,0.5824175824175825,0.7397260273972602
t5,최지훈,2021,2,0,0,0,1,7,0,1,6,0,23,1,144,10,0.3225806451612903,0.08695652173913043
t1,박성한,2021,18,4,1,1,0,1,0,0,13,1,58,3,239,20,0.4166666666666667,0.5689655172413793
t2,박성한,2021,20,4,0,1,0,7,0,1,11,5,58,1,257,20,0.45714285714285713,0.5517241379310345
t3,박성한,2021,20,6,0,1,0,6,0,0,10,1,60,0,260,20,0.4925373134328358,0.6
t4,박성한,2021,15,2,0,0,1,8,0,0,7,1,55,3,274,20,0.4,0.34545454545454546
t5,박성한,2021,2,1,0,0,0,4,0,0,4,0,15,0,74,10,0.3684210526315789,0.26666666666666666
t1,손아섭,2021,23,3,0,0,0,6,0,3,11,0,78,1,306,20,0.38095238095238093,0.3717948717948718
t2,손아섭,2021,20,1,0,0,0,9,0,1,8,0,77,5,303,20,0.3488372093023256,0.2857142857142857
t3,손아섭,2021,28,5,1,0,1,12,0,1,10,3,79,1,332,20,0.49473684210526314,0.5189873417721519
t4,손아섭,2021,22,4,0,1,0,12,1,1,10,0,77,2,352,20,0.4444444444444444,0.44155844155844154
t5,손아섭,2021,12,1,0,0,0,5,1,2,6,0,45,0,176,10,0.37254901960784315,0.3111111111111111
t1,양의지,2021,27,7,0,7,1,11,1,2,8,0,74,1,343,20,0.6206896551724138,0.9324324324324325
t2,양의지,2021,24,4,1,7,1,10,1,1,5,0,63,0,285,20,0.64,1.0
t3,양의지,2021,23,5,0,3,1,6,1,2,10,0,70,0,281,20,0.5,0.6428571428571429
t4,양의지,2021,21,2,0,4,2,18,0,1,7,0,67,0,345,20,0.5402298850574713,0.6119402985074627
t5,양의지,2021,13,3,0,2,2,4,0,1,6,0,33,1,128,9,0.6153846153846154,0.8181818181818182
t1,로맥,2021,14,1,0,2,1,11,0,1,19,0,65,0,297,20,0.37662337662337664,0.36923076923076925
t2,로맥,2021,17,3,0,5,0,8,0,2,10,0,72,0,312,20,0.4125,0.5972222222222222
t3,로맥,2021,13,0,0,3,2,15,0,3,16,0,62,0,352,20,0.4177215189873418,0.4032258064516129
t4,로맥,2021,18,2,0,5,0,16,1,1,19,0,73,1,393,20,0.4666666666666667,0.5753424657534246
t5,로맥,2021,9,1,0,3,1,6,0,1,7,0,34,0,163,9,0.4878048780487805,0.6764705882352942
t1,김성현,2021,10,5,0,0,0,6,0,2,8,0,46,0,193,20,0.40384615384615385,0.43478260869565216
t2,김성현,2021,10,3,0,2,0,7,0,1,7,2,46,1,198,20,0.4,0.5217391304347826
t3,김성현,2021,18,2,0,3,0,5,0,1,7,1,53,3,254,20,0.4745762711864407,0.6415094339622641
t4,김성현,2021,13,1,0,0,0,5,0,1,2,0,44,1,167,20,0.3877551020408163,0.3409090909090909
t5,김성현,2021,5,0,0,0,0,5,0,2,2,0,18,0,89,8,0.43478260869565216,0.2777777777777778
t1,김인태,2021,12,5,0,2,0,13,0,2,10,1,54,0,272,20,0.47058823529411764,0.5555555555555556
t2,김인태,2021,17,3,0,1,0,13,0,0,10,0,65,0,319,20,0.4358974358974359,0.4153846153846154
t3,김인태,2021,17,2,0,0,0,11,0,2,13,2,57,0,266,20,0.42857142857142855,0.3684210526315789
t4,김인태,2021,15,2,1,3,1,11,0,5,12,2,65,0,312,20,0.4177215189873418,0.5230769230769231
t5,김인태,2021,5,0,0,0,0,1,0,0,4,0,12,0,51,8,0.46153846153846156,0.4166666666666667
t1,허경민,2021,21,7,0,0,0,4,0,4,4,1,72,0,296,20,0.4155844155844156,0.4861111111111111
t2,허경민,2021,31,6,0,3,1,8,0,2,5,0,85,1,349,20,0.5212765957446809,0.6470588235294118
t3,허경민,2021,18,6,0,0,1,2,0,4,8,0,80,0,306,20,0.3253012048192771,0.375
t4,허경민,2021,17,3,1,0,2,5,1,5,5,0,73,1,289,20,0.35802469135802467,0.3561643835616438
t5,허경민,2021,13,0,0,1,0,2,0,1,4,0,33,0,129,8,0.45714285714285713,0.5151515151515151
t1,강한울,2021,12,2,0,0,0,2,0,1,5,0,42,1,150,20,0.36363636363636365,0.38095238095238093
t2,강한울,2021,9,0,0,0,0,11,0,1,10,1,34,0,210,20,0.43478260869565216,0.2647058823529412
t3,강한울,2021,11,0,0,0,0,6,0,0,8,0,31,0,161,20,0.4594594594594595,0.3548387096774194
t4,강한울,2021,9,1,0,0,0,3,0,1,15,1,45,1,229,20,0.2653061224489796,0.24444444444444444
t5,강한울,2021,4,1,0,0,0,1,0,1,7,1,22,0,103,7,0.25,0.2727272727272727
t1,정훈,2021,29,3,0,3,0,8,1,2,9,0,77,3,365,20,0.5116279069767442,0.6103896103896104
t2,정훈,2021,27,3,0,2,1,12,0,0,18,0,81,2,414,20,0.4787234042553192,0.5061728395061729
t3,정훈,2021,23,4,0,3,0,9,0,0,16,0,79,2,370,20,0.4431818181818182,0.5443037974683544
t4,정훈,2021,19,5,0,2,0,7,1,1,14,0,73,0,310,20,0.41975308641975306,0.5068493150684932
t5,정훈,2021,6,2,0,1,0,8,0,1,2,1,23,0,151,7,0.53125,0.6086956521739131
t1,김재환,2021,14,3,0,2,2,7,0,1,23,0,69,0,313,20,0.358974358974359,0.4057971014492754
t2,김재환,2021,24,1,1,3,0,15,0,2,12,0,67,0,359,20,0.5365853658536586,0.6119402985074627
t3,김재환,2021,23,2,0,5,1,16,0,1,20,0,70,1,369,20,0.5402298850574713,0.6714285714285714
t4,김재환,2021,19,2,0,8,1,9,1,0,19,0,74,0,330,20,0.47058823529411764,0.7432432432432432
t5,김재환,2021,3,1,0,0,0,6,0,0,7,0,22,0,113,7,0.35714285714285715,0.22727272727272727
t1,강민호,2021,19,4,0,4,1,6,1,2,4,0,67,0,268,20,0.4666666666666667,0.6417910447761194
t2,강민호,2021,20,0,0,2,1,10,2,4,8,0,63,0,246,20,0.4605263157894737,0.4444444444444444
t3,강민호,2021,19,3,0,4,0,8,1,5,11,0,73,0,321,20,0.4268292682926829,0.5616438356164384
t4,강민호,2021,29,7,0,3,0,5,0,1,11,0,71,0,271,20,0.5789473684210527,0.7746478873239436
t5,강민호,2021,5,1,0,1,0,1,0,0,2,0,15,0,49,5,0.5,0.7333333333333333
t1,김선빈,2021,21,8,0,1,0,9,0,5,6,0,79,0,361,20,0.4431818181818182,0.5189873417721519
t2,김선빈,2021,15,1,0,0,0,11,0,2,7,1,75,0,339,20,0.3103448275862069,0.22666666666666666
t3,김선빈,2021,24,7,0,2,0,14,1,0,6,0,72,0,347,20,0.5517241379310345,0.6388888888888888
t4,김선빈,2021,26,5,0,0,0,6,1,4,6,0,83,0,320,20,0.4222222222222222,0.43373493975903615
t5,김선빈,2021,11,3,0,0,0,1,0,0,1,0,22,0,85,5,0.6521739130434783,0.7727272727272727
t1,유강남,2021,15,3,0,1,3,1,0,4,10,1,67,0,255,20,0.3194444444444444,0.373134328358209
t2,유강남,2021,11,2,0,0,3,6,0,2,13,0,58,2,259,20,0.3283582089552239,0.25862068965517243
t3,유강남,2021,15,3,0,1,2,5,1,0,11,1,58,0,247,20,0.40298507462686567,0.43103448275862066
t4,유강남,2021,20,2,0,4,1,3,0,2,8,0,68,0,299,20,0.4166666666666667,0.5882352941176471
t5,유강남,2021,5,0,0,0,1,2,0,0,2,0,13,0,61,4,0.5,0.38461538461538464
t1,김지찬,2021,12,0,0,0,0,4,0,0,10,3,48,3,202,20,0.2909090909090909,0.25
t2,김지찬,2021,13,2,0,1,0,6,0,0,5,2,47,9,209,20,0.4,0.44680851063829785
t3,김지찬,2021,11,0,0,0,0,4,0,0,2,1,42,4,192,20,0.3191489361702128,0.2619047619047619
t4,김지찬,2021,15,2,0,0,0,1,0,0,7,2,61,1,226,20,0.28125,0.3114754098360656
t5,김지찬,2021,2,1,0,0,0,1,0,0,0,0,3,0,10,4,1.0,1.3333333333333333
t1,마차도,2021,20,3,0,0,1,5,0,2,11,0,76,1,309,20,0.35365853658536583,0.34210526315789475
t2,마차도,2021,17,3,0,1,0,14,0,3,9,0,62,3,304,20,0.4605263157894737,0.43548387096774194
t3,마차도,2021,20,3,0,0,1,13,0,2,12,0,73,0,333,20,0.42528735632183906,0.3561643835616438
t4,마차도,2021,20,5,0,3,0,11,1,1,7,0,69,4,296,20,0.49382716049382713,0.6086956521739131
t5,마차도,2021,3,1,0,0,0,1,0,0,3,0,12,0,53,4,0.38461538461538464,0.4166666666666667
t1,이정후,2021,24,8,0,1,0,13,0,1,2,0,68,0,313,20,0.5679012345679012,0.6470588235294118
t2,이정후,2021,26,10,0,0,2,13,0,2,3,0,76,1,373,20,0.5604395604395604,0.6052631578947368
t3,이정후,2021,24,5,1,1,0,12,1,2,9,0,79,1,382,20,0.4782608695652174,0.5189873417721519
t4,이정후,2021,32,8,2,1,2,11,0,2,8,0,76,4,350,20,0.6292134831460674,0.7631578947368421
t5,이정후,2021,2,0,1,0,0,2,0,0,1,0,11,0,49,3,0.38461538461538464,0.45454545454545453
t1,전병우,2021,7,1,0,1,3,5,0,0,17,1,43,0,209,20,0.3269230769230769,0.3023255813953488
t2,전병우,2021,9,3,0,1,1,6,0,0,17,0,49,1,238,20,0.35714285714285715,0.3877551020408163
t3,전병우,2021,4,3,0,0,2,7,0,0,16,1,31,0,185,20,0.3902439024390244,0.3225806451612903
t4,전병우,2021,11,1,0,2,2,7,0,0,18,1,44,1,206,20,0.42592592592592593,0.4772727272727273
t5,전병우,2021,0,0,0,0,0,2,0,0,2,0,4,0,28,3,0.3333333333333333,0.0
t1,오지환,2021,22,1,0,3,1,10,0,3,11,0,72,1,315,20,0.4457831325301205,0.5
t2,오지환,2021,18,3,1,1,3,9,0,2,14,0,74,3,355,20,0.4069767441860465,0.4189189189189189
t3,오지환,2021,16,2,0,1,1,6,0,0,14,0,69,3,297,20,0.34210526315789475,0.34782608695652173
t4,오지환,2021,18,5,0,1,0,9,0,2,12,2,70,0,307,20,0.4074074074074074,0.45714285714285713
t5,오지환,2021,0,0,0,0,0,4,0,0,2,0,9,0,56,3,0.3076923076923077,0.0
t1,송민섭,2021,3,0,0,0,0,2,0,0,1,0,6,2,33,20,0.625,0.5
t2,송민섭,2021,2,0,0,0,0,4,0,0,5,0,10,0,57,20,0.42857142857142855,0.2
t3,송민섭,2021,3,0,0,0,0,1,0,0,4,1,8,1,43,20,0.4,0.375
t4,송민섭,2021,0,0,0,0,0,3,0,0,7,0,13,2,73,20,0.1875,0.0
t5,송민섭,2021,0,0,0,0,0,1,0,0,1,0,2,2,17,3,0.3333333333333333,0.0
t1,박찬호,2021,16,3,0,1,0,5,0,4,13,4,67,0,308,20,0.32894736842105265,0.3880597014925373
t2,박찬호,2021,15,3,1,0,0,11,0,1,14,1,64,2,337,20,0.39473684210526316,0.375
t3,박찬호,2021,14,4,1,0,0,7,0,0,9,1,62,1,283,20,0.37142857142857144,0.4032258064516129
t4,박찬호,2021,19,3,1,0,0,4,0,1,11,0,69,2,310,20,0.3698630136986301,0.4057971014492754
t5,박찬호,2021,2,0,0,0,0,1,0,0,1,1,11,0,50,3,0.23076923076923078,0.18181818181818182
t1,박경수,2021,6,1,0,0,0,5,0,3,13,0,34,0,170,20,0.3076923076923077,0.23529411764705882
t2,박경수,2021,11,4,0,3,1,6,0,1,17,1,59,0,278,20,0.373134328358209,0.5254237288135594
t3,박경수,2021,8,0,0,2,1,7,1,0,6,0,27,0,154,20,0.5277777777777778,0.5925925925925926
t4,박경수,2021,9,2,0,2,1,4,1,2,19,0,53,0,206,20,0.3220338983050847,0.39622641509433965
t5,박경수,2021,1,0,0,0,0,3,0,0,1,0,5,0,39,2,0.5,0.2
t1,터커,2021,14,2,0,0,4,12,1,3,12,0,68,0,323,20,0.38823529411764707,0.2647058823529412
t2,터커,2021,24,4,0,2,1,12,0,2,10,0,81,0,350,20,0.4574468085106383,0.49382716049382713
t3,터커,2021,15,3,0,2,1,13,0,1,13,0,72,0,347,20,0.3953488372093023,0.4027777777777778
t4,터커,2021,19,5,1,1,0,10,0,2,7,0,80,0,348,20,0.4,0.45
t1,최재훈,2021,22,6,0,1,4,6,0,5,18,2,73,1,346,20,0.4588235294117647,0.5205479452054794
t2,최재훈,2021,17,1,0,2,0,16,0,2,7,2,60,0,333,20,0.46153846153846156,0.45
t3,최재훈,2021,15,2,0,2,3,12,0,3,10,1,60,2,307,20,0.4473684210526316,0.45
